term,definition,usage_note,status,url,source,category,prov_class,examples,resource_id
Data Entry,"The process by which original, source data is inputed by a human into a digital, structured format for later use and analysis.",,Approved,http://purl.obolibrary.org/obo/NCIT_C142379,NCI Thesaurus OBO Edition,Data,prov:Activity,,data-entry
Data Governance,"The control of data entry and maintenance to ensure the data meets defined standards, qualities, or constraints.",,Approved,http://edamontology.org/topic_3571,EDAM - Ontology of bioscientific data analysis and data management,Data,prov:Plan,,data-governance
Data Integration,"Systematic combining of data from different independent and potentially heterogeneous sources, to create a more compatible, unified view of these data for research purposes",,Approved,https://www.iso.org/standard/59743.html,ISO 5127:2017(en) Information and documentation — Foundation and vocabulary,Data,prov:Plan,,data-integration
Data Lifecycle,"Entire period of time that data exists. This lifecycle describes the flow of data starting from planning, collecting, processing, analysing, preserving, sharing and finally reusing the data.",,Approved,http://purl.obolibrary.org/obo/T4FS_0000213,terms4FAIRskills,Data,prov:Plan,,data-lifecycle
Data Management Plan,"Statement describing how data will be managed throughout a specified life cycle including terms regarding archiving and potential preservation of the data in a data repository. The plan is considered to be a 'living' document, i.e. one which can be updated when necessary.",,Approved,http://purl.obolibrary.org/obo/T4FS_0000196,terms4FAIRskills,Data,prov:Plan,,data-management-plan
Data Manager,"A person primarily responsible for database creation, data collection, validation, integration, coding, review, quality evaluation, and archiving, as well as for preparation of reports and data displays.",,Approved,http://purl.obolibrary.org/obo/NCIT_C51820,NCI Thesaurus OBO Edition,Data,prov:Role,,data-manager
Data Migration,"The process of transporting data between computers, storage devices, or formats. ","Data migration is a key consideration for any system implementation, upgrade or consolidation. During data migration, software programs or scripts are used to map system data for automated migration.",Approved,,Master Glossary for DOI Museum Property Directives,Data,prov:Activity,,data-migration
Data Mobility,The ability of information to be accessed and exchanged between systems,,Approved,,This Document,Data,prov:Activity,,data-mobility
Data Policy,Set of high-level principles that establish a guiding framework for data-related issues.,"A data policy may contain subsidiary sections that define approaches to strategic aspects such as data access; data protection; data management, custodianship or stewardship; data preservation; relevant legal matters; data acquisition; data ethics and other data-related issues. Distinct from a data management policy which is the subset of data policy addressing the management of a specified set of data assets.",Approved,http://purl.obolibrary.org/obo/T4FS_0000333,terms4FAIRskills,Data,prov:Plan,,data-policy
Data Preparation,Data preparation is the process of manipulating (or pre-processing) data (which may come from disparate data sources) to improve their quality or reduce bias in subsequent analysis.,,,,This Document,Data,prov:Activity,,data-preparation
Data Product,A collection of one or more data items that are packaged for or by a specific application.,"A data product may have input and output ports, code and metadata",Approved,,"Adopted from ISO 21961:2003, https://www.ica.org/standards/RiC/ontology#DataProduct",Data,prov:Entity,,data-product
Data Product Specification,"Detailed description of a dataset or dataset series together with additional information that will enable it to be created, supplied to and used by another party",,Approved,https://www.iso.org/standard/78898.html,ISO 19126:2021(en) Geographic information — Feature concept dictionaries and registers,Data,prov:Plan,,data-product-specification
Data Profiling,"The statistical analysis and assessment of the quality of data values within a dataset for consistency, uniqueness and logic.",The data profiling process cannot identify inaccurate data; it can only identify business rules violations and anomalies.,Approved,http://purl.obolibrary.org/obo/T4FS_0000516,terms4FAIRskills,Data,prov:Activity,,data-profiling
Data Provider,An agent or agents that produces data or reference metadata,,Approved,https://www.iso.org/standard/52500.html,ISO 17369:2013(en) Statistical data and metadata exchange (SDMX),Data,prov:Role,,data-provider
Data Publication Workflow,"Activities and processes in a digital environment that lead to the publication of data, associated metadata and accompanying documentation as a web-based resource.",,Approved,,Adopted from http://purl.obolibrary.org/obo/T4FS_0000190,Workflows,prov:Activity,,data-publication-workflow
Data Publishing,Process whereby data are subjected to an assessment process to determine whether they should be acquired by a repository; followed by a rigorous acquisition and ingest process that results in products being publicly made available and supported for the long-term by that repository.,,Approved,https://www.iso.org/standard/59743.html,ISO 5127:2017(en) Information and documentation — Foundation and vocabulary,Data,prov:Activity,,data-publishing
Data Quality,The reliability and application efficiency of data.,,Approved,http://purl.obolibrary.org/obo/T4FS_0000507,terms4FAIRskills,Data,prov:Plan,,data-quality
Data Steward,"Role within an organization responsible for ensuring metadata quality, integrity, and access in a manner that is consistent with policies and practices established through data governance to ensure the data is fit for reuse.",,Approved,,"Adopted from ISO/TR 14872:2019 and http://purl.obolibrary.org/obo/T4FS_0000178, Thomas G (2009)",Data,prov:Role,,data-steward
Data Transformation,A process whereby data is changed from one format or structure to another.,,Approved,http://purl.obolibrary.org/obo/NCIT_C43582,NCI Thesaurus OBO Edition,Data,prov:Activity,,data-transformation
Data Validation,"Process used to determine if data are inaccurate, incomplete, or unreasonable. ","The process may include format checks, completeness checks, check key tests, reasonableness checks, limit checks, and checking for compliance with applicable standards, rules, and conventions.",Approved,http://purl.obolibrary.org/obo/T4FS_0000238,terms4FAIRskills,Data,prov:Activity,,data-validation
Dataset,An identifiable collection of data,,Approved,https://www.iso.org/standard/78898.html,ISO 19101-1:2014(en) Geographic information — Reference model — Part 1: Fundamentals,Data,prov:Entity,"Data products such as images, catalogs, parameter files, calibration data, instrument characteristics, articles, and web pages",dataset
Deaccession,"The formal, documented process by which a museum or institution permanently removes an object from its permanent collection. ","An accession is guided by internal policy, professional ethics, and often oversight by governing boards or curatorial committees.",Approved,,Art Glossary: Definitions of Common Art Terms and Techniques,Collections,prov:Activity,,deaccession
Derivation,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity.","For an entity to be transformed from, created from, or resulting from an update to another, there must be some underpinning activity or activities performing the necessary action(s) resulting in such a derivation. ",Approved,http://www.w3.org/ns/prov#Derivation,The PROV Namespace,Collections,prov:Entity,,derivation
Determination,The systematic identification and classification of a collection object,A action of making a determination is indepdenent of the accession status of a specimen.,Approved,http://www.cidoc-crm.org/cidoc-crm/E17_Type_Assignment,CIDOC Conceptual Reference Model version 7.1.3,Collections,prov:Entity,,determination
Digital Collections,"Designates an aggregation of digital objects, including digital versions of physical media, digitised resources, or born-digital items. The collection may be online presented or not.","Disambiguates Collection terms in the LIDO ObjectType vocabulary. Here, Digital Collections are disambiguated from Physical and Online Collections",Approved,http://terminology.lido-schema.org/lido01032,Lightweight Information Describing Objects,Collections,prov:Entity,,digital-collections
Digitization,Process of converting analogue materials into digital form,,Approved,,ISO 21246:2019 Information and documentation — Key indicators for museums,Collections,prov:Activity,,digitization
Distribution,A specific serialized representation of a dataset.,"A dataset might be available in multiple serializations that may differ in various ways, including natural language, media-type or format, schematic organization, temporal and spatial resolution, level of detail or profiles (which might specify any or all of the above).",Approved,,Adopted from http://schema.org/distribution and https://www.w3.org/ns/dcat#Distribution,Collections,prov:Entity,,distribution
Distribution Phase,The stage in a project when a serialized version of a mobilized dataset is made available ,,Approved,,This Document,Workflows,prov:Plan,,distribution-phase
Entity,"An entity is a physical, digital, conceptual, or other kind of thing with some fixed aspects; entities may be real or imaginary.",,Approved,http://www.w3.org/ns/prov#Entity,PROV-O,Data,prov:Entity,,entity
Environmental Science,"Environmental science is the science of the interactions between the physical, chemical, and biological components of the environment, but with particular attention to the effects of humans on the natural environment.",Subclass of Earth Science,Approved,https://w3id.org/skgo/modsci#EnvironmentalScience,Modern Science Ontology,Collections,prov:Activity,,environmental-science
Event,Something that happens or occurs in time and space.,"An event may be caused by nature, an agent, or a combination of nature and agent. Events have temporal and spatial boundaries. An event may actively involve some agent(s) and affect any entity. An event may be discrete, happening at a specific moment in time, or may occur over an extended period of time. Events may have events as parts, and events may precede or follow one another. Multiple agents may participate in the same event, and in different roles.",Approved,https://www.ica.org/standards/RiC/ontology#Event,International Council on Archives Records in Contexts Ontology (ICA RiC-O) version 1.1,Workflows,prov:Activity,,event
Event Type,Categorization scheme for grouping events by purpose,"Curation event types include creation; acquisition; transfer; arrangement; description; digitization, etc. Biographical event types include birth, marriage, death, etc.",Approved,https://www.ica.org/standards/RiC/ontology#EventType,International Council on Archives Records in Contexts Ontology (ICA RiC-O) version 1.1,Global,prov:Activity,,event-type
"Extract, Transform Load","A planned data integration process that extracts concretizations of information from a data source, prepares and transforms them, then loads the transformed concretizations into a target data store.",,Approved,,Adopted from http://purl.obolibrary.org/obo/IAO_0000650 and http://purl.obolibrary.org/obo/NCIT_C142549,Data,prov:Activity,,extract-transform-load
FAIR Principles,"The FAIR principles are guidelines to improve the Findability, Accessibility, Interoperability, and Reuse of digital assets. The principles emphasise machine-actionability (i.e., the capacity of computational systems to find, access, interoperate, and reuse data with none or minimal human intervention) because humans increasingly rely on computational support to deal with data as a result of the increase in volume, complexity, and creation speed of data. The principles refer to three types of entities: data (or any digital object), metadata (information about that digital object), and infrastructure.",,Approved,http://purl.obolibrary.org/obo/T4FS_0000447,terms4FAIRskills,Data,prov:Plan,,fair-principles
Feature of Interest,The thing being sampled or transformed in an act of sampling.,,Approved,https://www.w3.org/TR/vocab-ssn/#SOSAFeatureOfInterest,Semantic Sensor Network Ontology,Data,prov:Entity,,feature-of-interest
Field,User-interface element in which data is entered or presented,,Approved,,ISO 9241-125:2017(en) Ergonomics of human-system interaction — Part 125: Guidance on visual presentation of information,Data,prov:Entity,,field
Field Work,Investigation or other type of formal activity practiced by direct observation in the field as a form of primary reconnaissance,,Approved,,This Document and adopted from ISO 22932-2:2020,Collections,prov:Activity,,field-work
Format Transformation,A type of data transformation that preserves the content of a dataset while converting its representation format.,,Approved,,Adopted from http://purl.org/net/wf-motifs#FormatTransformation,Data,prov:Activity,,format-transformation
Fossils,"Recognizable remains such as bones, shells, leaves, burrows, impressions, or tracks of past life on the earth.",,Approved,https://apps.usgs.gov/thesaurus/download/USGSThesaurus.rdf,USGS Thesaurus,Collections,prov:Entity,,fossils
Functional Specification,A functional specification is a specification that describes the characteristics of an object.,,Provisional,http://semanticscience.org/resource/SIO_000315,Semanticscience Integrated Ontology,Workflows,prov:Plan,Subclass of Specification,functional-specification
Generated,The completion of production of a new entity by an activity. ,"This entity did not exist before generation and becomes available for usage after this generation. Given that a generation is the completion of production of an entity, it is instantaneous.",Approved,http://hl7.org/fhir/w3c-provenance-activity-type/generation,W3C PROV Data Model Activity concepts,Data,prov:Activity,,generated
Geologic Specimen,A collection object that is a geologic material,,Approved,,This Document,Collections,prov:Entity,,geologic-specimen
Geological Material,A material entity comprised of a natural amount of matter generated by some geologic process,"Can include minor parts that are not of geologic origin, such as organic material, and can be solid, fluid, or a mix.",Approved,,Adopted from GeoCore Ontology and Geosciences Ontology,Collections,prov:Entity,,geological-material
Geology,"Study of the planet earth, its composition, structure, physical and chemical processes, and history since its origin.",,Approved,https://apps.usgs.gov/thesaurus/download/USGSThesaurus.rdf,USGS Thesaurus,Collections,prov:Activity,,geology
Glossary,A collection of defined concepts within a domain,,Approved,http://purl.obolibrary.org/obo/NCIT_C18232,NCI Thesaurus OBO Edition,Global,prov:Entity,,glossary
Identifier,"A word, number, letter, symbol, or any combination of these used to uniquely identify or reference an individual instance of an entity within a specific information domain.","Can include Global Persistent Identifiers (globally unique and persistently resolvable identifier for the entity) and/or Local Identifiers. Both the domain within which the identifier is unique, and the rules used in forming the identifier value should be provided with the identifier value.",Approved,https://www.ica.org/standards/RiC/ontology#Identifier,International Council on Archives Records in Contexts Ontology (ICA RiC-O) version 1.1,Collections,prov:Entity,,identifier
Identifier assignment,An activity that results in the allocation of an identifier that may be locally or globally unique,Documenting the act of identifier assignment and deassignment is especially useful when objects change custody or the identification system of an organization is changed.,Approved,http://www.cidoc-crm.org/cidoc-crm/E15_Identifier_Assignment,CIDOC Conceptual Reference Model version 7.1.3,Workflows,prov:Activity,,identifier-assignment
Initator,Something that sets into motion some course of events or causes something to happen.,"In the context of a collection workflow, an initiator starts a new procedure or branch of an existing workflow",Approved,http://purl.obolibrary.org/obo/NCIT_C54190,NCI Thesaurus OBO Edition,Workflows,prov:Activity,,initator
Iterative Workflow,A workflow whose steps are the repetition of the same task type.,,Approved,https://w3id.org/emmo#EMMO_ddecfff6_d3a1_4972_b9e9_3d0ca11a3a0b,Elementary Multiperspective Material Ontology,Workflows,prov:Activity,,iterative-workflow
Kind (of),A grouping of entities that share a common set of characteristics in a particular context.,Analogous to a 'category' or classification scheme item value,Approved,,This Document,Data,prov:Entity,,kind-of
Library,"Organization, or part of an organization, the main aim of which is to facilitate the use of such information resources, services and facilities as are required to meet the informational, research, educational, cultural or recreational needs of its users",,Approved,,ISO 18461:2016 International museum statistics,Collections,prov:Entity,,library
Loan,The temporary transfer of custody of museum property on either a short- term (three years or less) or long-term basis. ,A loan must be for official purposes and may be incoming or outgoing. The terms of a loan are documented in a loan agreement or similar instrument.,Approved,,Master Glossary for DOI Museum Property Directives,Collections,prov:Activity,,loan
Local Identifier,Designates an assigned code that is uniquely and meaningfully defined only in the local source system or within the scope of an internal management system.,Locally defined identifiers should not be used to establish equality between resources from separate source systems. They may be used only to compare resources coming from the same local system. They must not be considered to have meaning of their own.,Approved,http://terminology.lido-schema.org/lido00100,Lightweight Information Describing Objects,Data,prov:Entity,,local-identifier
Man-made Object,Comprises all persistent physical objects of any size that are purposely created by human activity and have physical boundaries that separate them completely in an objective way from other objects.,"Includes all aggregates of objects made for functional purposes of whatever kind, independent of physical coherence, such as a set of chessmen.",Approved,https://cidoc-crm.org/sites/default/files/cidoc_crm_version_7.1.3.pdf,CIDOC Conceptual Reference Model version 7.1.3,Collections,prov:Entity,,man-made-object
Material Entity,"An entity that exists in full during the length of time of its existence, persists through this time while maintaining its identity and has no temporal parts.",,Approved,http://purl.obolibrary.org/obo/BFO_0000040,Basic Form Ontology,Collections,prov:Entity,,material-entity
Material Sample,A material entity that represents an entity of interest in whole or in part dwc:MaterialSample. Top concept in material sample object type hierarchy. Represents any material sample object.,,Approved,http://rs.tdwg.org/dwc/terms/MaterialSample,Darwin Core,Collections,prov:Entity,,material-sample
Metadata,Data that defines and describes other data,,Approved,,ISO/IEC 5207:2024(en) Information technology — Data usage — Terminology and use cases,Data,prov:Entity,,metadata
Mobilization,The process of preparing and transferring data from an internal resource or system to external networks for the purposes of distribution,,Approved,,This Document,Workflows,prov:Activity,,mobilization
Module,A self-contained component (unit or item) that is used in combination with other components.,,Approved,http://purl.obolibrary.org/obo/NCIT_C42721,NCI Thesaurus OBO Edition,Data,prov:Entity,,module
Museum," An institution that cares for (conserves) a collection of artifacts and other objects of scientific, artistic, cultural, or historical importance.",,Approved,http://purl.obolibrary.org/obo/BCO_0000059,The Biological Collections Ontology,Collections,prov:Entity,,museum
Museum Collection,An object aggregate that has as member parts a material sample that is located in a museum as a result of a process of curation.,"The class museum collection has meaning that is much broader than biological collections. It would probably be better to import this term from another, more general ontology and create a specific subclass for natural history museum collection.",Approved,http://purl.obolibrary.org/obo/BCO_0000031,The Biological Collections Ontology,Collections,prov:Entity,,museum-collection
Natural Sciences,The natural sciences are those branches of empirical science that produce a comprehension of the natural world through the use of data collected from it by observation and measurement to construct deterministic and/or stochastic quantitative models of its phenomena.,,Approved,https://w3id.org/skgo/modsci#NaturalScience,Modern Science Ontology,Collections,prov:Activity,,natural-sciences
Online Collection,"A virtual collection primarily designed and collocated for online presentation. The items presented in an online collection may refer to physical objects or digital resources, or both.",,Approved,http://terminology.lido-schema.org/lido01055,Lightweight Information Describing Objects,Collections,prov:Entity,,online-collection
Organization,"An organization is a social or legal institution such as a company, society, etc.",,Approved,http://www.w3.org/ns/prov#Organization,PROV-O: The PROV Ontology,Global,prov:Entity,,organization
Paleontology,"Paleontology is the study of the developing history of life on earth, of ancient plants and animals based on the fossil record, evidence of their existence preserved in rocks.",Subclass of Biology,Approved,https://w3id.org/skgo/modsci#Paleontology,Modern Science Ontology,Collections,prov:Activity,,paleontology
Parallel Workflow,A workflow with some tasks running concurrently.,"A workflow can be seen as a direct acyclic graph, whose nodes are tasks and edges are asymmetric causal relations. A parallel graph occurs when the topological order of such graph if not unique, meaning that there is at least one portion of the workflow in which at least two tasks are running concurrently.",Approved,https://w3id.org/emmo#EMMO_5848e476_2768_4988_98f9_9053c532307b,Elementary Multiperspective Material Ontology,Workflows,prov:Activity,,parallel-workflow
Phyiscal Object,Items of a material nature that are units for documentation and have physical boundaries that separate them completely in an objective way from other objects.,,Approved,http://www.cidoc-crm.org/cidoc-crm/E19_Physical_Object,CIDOC Conceptual Reference Model version 7.1.3,Collections,prov:Entity,,phyiscal-object
Physical Collection,Designates an aggregated group of tangible objects,"Disambiguates Collection terms in the LIDO ObjectType vocabulary. Here, Physical Collections are disambiguated from Digital and Online Collections",Approved,,Adopted from http://terminology.lido-schema.org/lido01053,Collections,prov:Entity,,physical-collection
Physical Object,Comprises items of a material nature that are units for documentation and have physical boundaries that separate them completely in an objective way from other objects.,"The decision as to what is documented as a complete item, rather than by its parts or components, may be purely administrative or may be a result of the order in which the item was acquired.",Approved,https://cidoc-crm.org/sites/default/files/cidoc_crm_version_7.1.3.pdf,CIDOC Conceptual Reference Model version 7.1.3,Collections,prov:Entity,"Information about the Principal Investigator who recorded the data, and the information concerning its storage, handling, and migration.
",physical-object
Pipeline,"Full set of logically connected steps needed to transform input data into a result, for which one or more outputs of one data transformation step can be the input of one or more subsequent steps",,Approved,,"ISO/IEC 11179-34:2024(en) Information technology — Metadata registries (MDR) — Part 34: Metamodel for computable data registration
",Data,prov:Entity,,pipeline
Plan,An entity that represents a set of intended actions or steps executed by one or more agents to achieve some goals.,,Approved,http://www.w3.org/ns/prov#Plan,PROV-O: The PROV Ontology,Workflows,prov:Entity,,plan
Plan specification,"A directive information entity with action specifications and objective specifications as parts, and that may be concretized as a realizable entity that, if realized, is realized in a process in which the bearer tries to achieve the objectives by taking the actions specified.",,Approved,http://purl.obolibrary.org/obo/IAO_0000104,Information Artifact Ontology,Workflows,prov:Plan,,plan-specification
Planned process,A process that is initiated by an agent who intends to carry out a plan to achieve an objective through one or more actions as described in a plan specification.,,Approved,http://purl.obolibrary.org/obo/COB_0000082,Core Ontology for Biology and Biomedicine,Workflows,prov:Activity,,planned-process
Preparator,Person carrying out the operations required for the conservation of dead animals for decoration purposes or for scientific study,,Approved,https://www.iso.org/standard/59743.html,ISO 5127:2017(en) Information and documentation — Foundation and vocabulary,Collections,prov:Role,,preparator
Primary Source,"Materials that provide first-hand documentation or knowledge, usually of people, places, events or time periods.","Primary sources enable the researcher to trace a research subject to its origin, potentially supporting new interpretations or revealing previously undocumented knowledge of that subject. Secondary sources build upon or extrapolate information derived from primary sources, and the distinction between the two can be quite fluid depending on one's area of study. In most contexts, however, a primary source is understood to be a point of origin, or a piece of raw data, for a research subject.",Approved,https://libguides.sdsu.edu/primary-sources/terms,,Collections,prov:Entity,,primary-source
Procedure,An intentional planned process performed by an agent within the context of a workflow,An intentional process in which an agent works with some entities according to some existing formalised operative rules.,Approved,https://w3id.org/emmo#EMMO_472a0ca2_58bf_4618_b561_6fe68bd9fd49,Elementary Multiperspective Material Ontology,Workflows,prov:Activity,,procedure
Procedure Specification,"A specification on the order, transitions and trigger of multiple action specifications that are part of some aggregate action specification.",,Provisional,http://purl.allotrope.org/ontologies/result#AFR_0000938,Allotrope Foundation Ontology,Workflows,prov:Plan,,procedure-specification
Process,A coordinated (parallel and/or serial) sequence of tasks that are connected in order to achieve a common goal as part of a workflow,,Approved,,Adopted from ISO 12651-2:2014 and https://www.irit.fr/recherches/MELODI/ontologies/BBO#Process,Workflows,prov:Activity,,process
