term,definition,usage_note,status,url,source,category,prov_class,examples
Collection Object,A physical or digital object that belongs to a museum collection,,Approved,,This Document,Collections,prov:Entity,
Collection Workflow,"A planed activity that defines role(s), procedures, task(s), and a specific structure in direct support of the care and digitization of museum collections",A workflow is a type of prov:Activity that has at least two procedures as proper parts. A workflow may be seen as an abstract model of real work.,Approved,,This Document,Collections,prov:Activity,
Concept Harmonization,Activity leading to the establishment of a correspondence between two or more closely related or overlapping concepts having in order to eliminate or reduce minor differences between them.,,Approved,https://www.iso.org/standard/63541.html,ISO 19104:2016(en) Geographic information — Terminology,Global,prov:Activity,
Conservator,Person who performs the operations necessary to maintain the integrity and value of material objects in an information and documentation organization,A collections manager is a type of conservator specifically associated with a museum collection,Approved,https://www.iso.org/standard/59743.html,ISO 5127:2017(en) Information and documentation — Foundation and vocabulary,Collections,prov:Role,
Curated Holding,"Comprises aggregations of physical objects that are curated and preserved by one or more Agents over time for a specific purpose and audience, and according to a particular collection development plan. ",,Approved,https://cidoc-crm.org/sites/default/files/cidoc_crm_version_7.1.3.pdf,Definition of the CIDOC Conceptual Reference Model version 7.1.3,Collections,prov:Entity,
Curator,Person responsible for overseeing a collection with expertise in the same domain as the collection,,Provisional,https://www.iso.org/standard/59743.html,ISO 5127:2017(en) Information and documentation — Foundation and vocabulary,Collections,prov:Role,
Data Capture,Deliberate action that results in the registration of a record into a record keeping system.,,Approved,,ISO 18530:2021 Health informatics — Automatic identification and data capture marking and labelling — Subject of care and individual provider identification,Workflows,prov:Activity,
Data Cleaning,Refers to the step or series of steps for cleaning and curating data in a workflow. ,"Typically these steps are undertaken by sophisticated tooling/services, or by human interactions. A Data Cleaning step preserves and enriches the content of data.",Approved,http://purl.org/net/wf-motifs#DataCleaning,The Workflow Motif Ontology,Workflows,prov:Activity,
Data Collector,Person/institution responsible for finding or gathering/collecting data,,Approved,,Adopted from http://w3id.org/nfdi4ing/metadata4ing#DataCollector,Workflows,prov:Role,
Data Curation,"A planned process in which existing data is collected, organized, and improved in preparation for subsequent use.",,Approved,http://purl.obolibrary.org/obo/SEPIO_0000131,Ontology for Scientific Evidence and Provenance Information,Workflows,prov:Activity,
Data Curation and Archival,"An activity that includes the preservation of data in a repository, archive, or a deposition database; and curation of data and metadata, database accessions, annotation, and data provenance with the goal of ensuring that data is findable and reusable. ",,Approved,http://edamontology.org/topic_0219,EDAM - Ontology of bioscientific data analysis and data management,Workflows,prov:Activity,
Data Curation Workflow,A type of workflow that includes active steps to curate data as an aid to on-going management of data through its lifecycle.,,Approved,http://purl.obolibrary.org/obo/T4FS_0000102,terms4FAIRskills,Workflows,prov:Activity,
Data Curator,"Person tasked with reviewing, enhancing, cleaning, or standardizing metadata and the associated data submitted for storage, use, and maintenance within a centralized data store or repository",,Approved,,DataCite Metadata Scheme,Collections,prov:Role,
Data Entry,"The process by which original, source data is inputed by a human into a digital, structured format for later use and analysis.",,Approved,http://purl.obolibrary.org/obo/NCIT_C142379,NCI Thesaurus OBO Edition,Data,prov:Activity,
Data Governance,"The control of data entry and maintenance to ensure the data meets defined standards, qualities, or constraints.",,Approved,http://edamontology.org/topic_3571,EDAM - Ontology of bioscientific data analysis and data management,Data,prov:Plan,
Data Integration,"Systematic combining of data from different independent and potentially heterogeneous sources, to create a more compatible, unified view of these data for research purposes",,Approved,https://www.iso.org/standard/59743.html,ISO 5127:2017(en) Information and documentation — Foundation and vocabulary,Data,prov:Plan,
Data Lifecycle,"Entire period of time that data exists. This lifecycle describes the flow of data starting from planning, collecting, processing, analysing, preserving, sharing and finally reusing the data.",,Approved,http://purl.obolibrary.org/obo/T4FS_0000213,terms4FAIRskills,Data,prov:Plan,
Data Management Plan,"Statement describing how data will be managed throughout a specified life cycle including terms regarding archiving and potential preservation of the data in a data repository. The plan is considered to be a 'living' document, i.e. one which can be updated when necessary.",,Approved,http://purl.obolibrary.org/obo/T4FS_0000196,terms4FAIRskills,Data,prov:Plan,
Data Manager,"A person primarily responsible for database creation, data collection, validation, integration, coding, review, quality evaluation, and archiving, as well as for preparation of reports and data displays.",,Approved,http://purl.obolibrary.org/obo/NCIT_C51820,NCI Thesaurus OBO Edition,Data,prov:Role,
Data Migration,"The process of transporting data between computers, storage devices, or formats. ","Data migration is a key consideration for any system implementation, upgrade or consolidation. During data migration, software programs or scripts are used to map system data for automated migration.",Approved,,Master Glossary for DOI Museum Property Directives,Data,prov:Activity,
Data Mobility,The ability of information to be accessed and exchanged between systems,,Approved,,This Document,Data,prov:Activity,
Data Policy,Set of high-level principles that establish a guiding framework for data-related issues.,"A data policy may contain subsidiary sections that define approaches to strategic aspects such as data access; data protection; data management, custodianship or stewardship; data preservation; relevant legal matters; data acquisition; data ethics and other data-related issues. Distinct from a data management policy which is the subset of data policy addressing the management of a specified set of data assets.",Approved,http://purl.obolibrary.org/obo/T4FS_0000333,terms4FAIRskills,Data,prov:Plan,
Data Preparation,Data preparation is the process of manipulating (or pre-processing) data (which may come from disparate data sources) to improve their quality or reduce bias in subsequent analysis.,,,,This Document,Data,prov:Activity,
Data Product,A collection of one or more data items that are packaged for or by a specific application.,"A data product may have input and output ports, code and metadata",Approved,,"Adopted from ISO 21961:2003, https://www.ica.org/standards/RiC/ontology#DataProduct",Data,prov:Entity,
Data Product Specification,"Detailed description of a dataset or dataset series together with additional information that will enable it to be created, supplied to and used by another party",,Approved,https://www.iso.org/standard/78898.html,ISO 19126:2021(en) Geographic information — Feature concept dictionaries and registers,Data,prov:Plan,
Data Profiling,"The statistical analysis and assessment of the quality of data values within a dataset for consistency, uniqueness and logic.",The data profiling process cannot identify inaccurate data; it can only identify business rules violations and anomalies.,Approved,http://purl.obolibrary.org/obo/T4FS_0000516,terms4FAIRskills,Data,prov:Activity,
Data Provider,An agent or agents that produces data or reference metadata,,Approved,https://www.iso.org/standard/52500.html,ISO 17369:2013(en) Statistical data and metadata exchange (SDMX),Data,prov:Role,
Data Publication Workflow,"Activities and processes in a digital environment that lead to the publication of data, associated metadata and accompanying documentation as a web-based resource.",,Approved,,Adopted from http://purl.obolibrary.org/obo/T4FS_0000190,Workflows,prov:Activity,
Data Publishing,Process whereby data are subjected to an assessment process to determine whether they should be acquired by a repository; followed by a rigorous acquisition and ingest process that results in products being publicly made available and supported for the long-term by that repository.,,Approved,https://www.iso.org/standard/59743.html,ISO 5127:2017(en) Information and documentation — Foundation and vocabulary,Data,prov:Activity,
Data Quality,The reliability and application efficiency of data.,,Approved,http://purl.obolibrary.org/obo/T4FS_0000507,terms4FAIRskills,Data,prov:Plan,
Data Steward,"Role within an organization responsible for ensuring metadata quality, integrity, and access in a manner that is consistent with policies and practices established through data governance to ensure the data is fit for reuse.",,Approved,,"Adopted from ISO/TR 14872:2019 and http://purl.obolibrary.org/obo/T4FS_0000178, Thomas G (2009)",Data,prov:Role,
Data Transformation,A process whereby data is changed from one format or structure to another.,,Approved,http://purl.obolibrary.org/obo/NCIT_C43582,NCI Thesaurus OBO Edition,Data,prov:Activity,
Data Validation,"Process used to determine if data are inaccurate, incomplete, or unreasonable. ","The process may include format checks, completeness checks, check key tests, reasonableness checks, limit checks, and checking for compliance with applicable standards, rules, and conventions.",Approved,http://purl.obolibrary.org/obo/T4FS_0000238,terms4FAIRskills,Data,prov:Activity,
Dataset,An identifiable collection of data,,Approved,https://www.iso.org/standard/78898.html,ISO 19101-1:2014(en) Geographic information — Reference model — Part 1: Fundamentals,Data,prov:Entity,"Data products such as images, catalogs, parameter files, calibration data, instrument characteristics, articles, and web pages"
Deaccession,"The formal, documented process by which a museum or institution permanently removes an object from its permanent collection. ","An accession is guided by internal policy, professional ethics, and often oversight by governing boards or curatorial committees.",Approved,,Art Glossary: Definitions of Common Art Terms and Techniques,Collections,prov:Activity,
Derivation,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity.","For an entity to be transformed from, created from, or resulting from an update to another, there must be some underpinning activity or activities performing the necessary action(s) resulting in such a derivation. ",Approved,http://www.w3.org/ns/prov#Derivation,The PROV Namespace,Collections,prov:Entity,
Determination,The systematic identification and classification of a collection object,A action of making a determination is indepdenent of the accession status of a specimen.,Approved,http://www.cidoc-crm.org/cidoc-crm/E17_Type_Assignment,CIDOC Conceptual Reference Model version 7.1.3,Collections,prov:Entity,
Digital Collections,"Designates an aggregation of digital objects, including digital versions of physical media, digitised resources, or born-digital items. The collection may be online presented or not.","Disambiguates Collection terms in the LIDO ObjectType vocabulary. Here, Digital Collections are disambiguated from Physical and Online Collections",Approved,http://terminology.lido-schema.org/lido01032,Lightweight Information Describing Objects,Collections,prov:Entity,
Digitization,Process of converting analogue materials into digital form,,Approved,,ISO 21246:2019 Information and documentation — Key indicators for museums,Collections,prov:Activity,
Distribution,A specific serialized representation of a dataset.,"A dataset might be available in multiple serializations that may differ in various ways, including natural language, media-type or format, schematic organization, temporal and spatial resolution, level of detail or profiles (which might specify any or all of the above).",Approved,,Adopted from http://schema.org/distribution and https://www.w3.org/ns/dcat#Distribution,Collections,prov:Entity,
Distribution Phase,The stage in a project when a serialized version of a mobilized dataset is made available ,,Approved,,This Document,Workflows,prov:Plan,
Entity,"An entity is a physical, digital, conceptual, or other kind of thing with some fixed aspects; entities may be real or imaginary.",,Approved,http://www.w3.org/ns/prov#Entity,PROV-O,Data,prov:Entity,
Event,Something that happens or occurs in time and space.,"An event may be caused by nature, an agent, or a combination of nature and agent. Events have temporal and spatial boundaries. An event may actively involve some agent(s) and affect any entity. An event may be discrete, happening at a specific moment in time, or may occur over an extended period of time. Events may have events as parts, and events may precede or follow one another. Multiple agents may participate in the same event, and in different roles.",Approved,https://www.ica.org/standards/RiC/ontology#Event,International Council on Archives Records in Contexts Ontology (ICA RiC-O) version 1.1,Workflows,prov:Activity,
Event Type,Categorization scheme for grouping events by purpose,"Curation event types include creation; acquisition; transfer; arrangement; description; digitization, etc. Biographical event types include birth, marriage, death, etc.",Approved,https://www.ica.org/standards/RiC/ontology#EventType,International Council on Archives Records in Contexts Ontology (ICA RiC-O) version 1.1,Global,prov:Activity,
"Extract, Transform Load","A planned data integration process that extracts concretizations of information from a data source, prepares and transforms them, then loads the transformed concretizations into a target data store.",,Approved,,Adopted from http://purl.obolibrary.org/obo/IAO_0000650 and http://purl.obolibrary.org/obo/NCIT_C142549,Data,prov:Activity,
FAIR Principles,"The FAIR principles are guidelines to improve the Findability, Accessibility, Interoperability, and Reuse of digital assets. The principles emphasise machine-actionability (i.e., the capacity of computational systems to find, access, interoperate, and reuse data with none or minimal human intervention) because humans increasingly rely on computational support to deal with data as a result of the increase in volume, complexity, and creation speed of data. The principles refer to three types of entities: data (or any digital object), metadata (information about that digital object), and infrastructure.",,Approved,http://purl.obolibrary.org/obo/T4FS_0000447,terms4FAIRskills,Data,prov:Plan,
Feature of Interest,The thing being sampled or transformed in an act of sampling.,,Approved,https://www.w3.org/TR/vocab-ssn/#SOSAFeatureOfInterest,Semantic Sensor Network Ontology,Data,prov:Entity,
Field,User-interface element in which data is entered or presented,,Approved,,ISO 9241-125:2017(en) Ergonomics of human-system interaction — Part 125: Guidance on visual presentation of information,Data,prov:Entity,
Field Work,Investigation or other type of formal activity practiced by direct observation in the field as a form of primary reconnaissance,,Approved,,This Document and adopted from ISO 22932-2:2020,Collections,prov:Activity,
Format Transformation,A type of data transformation that preserves the content of a dataset while converting its representation format.,,Approved,,Adopted from http://purl.org/net/wf-motifs#FormatTransformation,Data,prov:Activity,
Functional Specification,A functional specification is a specification that describes the characteristics of an object.,,Provisional,http://semanticscience.org/resource/SIO_000315,Semanticscience Integrated Ontology,Workflows,prov:Plan,Subclass of Specification
Generated,The completion of production of a new entity by an activity. ,"This entity did not exist before generation and becomes available for usage after this generation. Given that a generation is the completion of production of an entity, it is instantaneous.",Approved,http://hl7.org/fhir/w3c-provenance-activity-type/generation,W3C PROV Data Model Activity concepts,Data,prov:Activity,
Geological Object,"An amount of matter primarily (dominantly) having parts created by geologic processes. Can include minor parts that are not of geologic origin, such as organic material, and can be solid, fluid, or a mix.",,Approved,https://w3id.org/gso/1.0/geology/Geologic_Material,"Geoscience Ontology, Geology",Collections,prov:Entity,
Identifier,"A word, number, letter, symbol, or any combination of these used to uniquely identify or reference an individual instance of an entity within a specific information domain.","Can include Global Persistent Identifiers (globally unique and persistently resolvable identifier for the entity) and/or Local Identifiers. Both the domain within which the identifier is unique, and the rules used in forming the identifier value should be provided with the identifier value.",Approved,https://www.ica.org/standards/RiC/ontology#Identifier,International Council on Archives Records in Contexts Ontology (ICA RiC-O) version 1.1,Collections,prov:Entity,
Identifier assignment,An activity that results in the allocation of an identifier that may be locally or globally unique,Documenting the act of identifier assignment and deassignment is especially useful when objects change custody or the identification system of an organization is changed.,Approved,http://www.cidoc-crm.org/cidoc-crm/E15_Identifier_Assignment,CIDOC Conceptual Reference Model version 7.1.3,Workflows,prov:Activity,
Initator,Something that sets into motion some course of events or causes something to happen.,"In the context of a collection workflow, an initiator starts a new procedure or branch of an existing workflow",Approved,http://purl.obolibrary.org/obo/NCIT_C54190,NCI Thesaurus OBO Edition,Workflows,prov:Activity,
Iterative Workflow,A workflow whose steps are the repetition of the same task type.,,Approved,https://w3id.org/emmo#EMMO_ddecfff6_d3a1_4972_b9e9_3d0ca11a3a0b,Elementary Multiperspective Material Ontology,Workflows,prov:Activity,
Kind (of),A grouping of entities that share a common set of characteristics in a particular context.,Analogous to a 'category' or classification scheme item value,Approved,,This Document,Data,prov:Entity,
Loan,The temporary transfer of custody of museum property on either a short- term (three years or less) or long-term basis. ,A loan must be for official purposes and may be incoming or outgoing. The terms of a loan are documented in a loan agreement or similar instrument.,Approved,,Master Glossary for DOI Museum Property Directives,Collections,prov:Activity,
Local Identifier,Designates an assigned code that is uniquely and meaningfully defined only in the local source system or within the scope of an internal management system.,Locally defined identifiers should not be used to establish equality between resources from separate source systems. They may be used only to compare resources coming from the same local system. They must not be considered to have meaning of their own.,Approved,http://terminology.lido-schema.org/lido00100,Lightweight Information Describing Objects,Data,prov:Entity,
Man-made Object,Comprises all persistent physical objects of any size that are purposely created by human activity and have physical boundaries that separate them completely in an objective way from other objects.,"Includes all aggregates of objects made for functional purposes of whatever kind, independent of physical coherence, such as a set of chessmen.",Approved,https://cidoc-crm.org/sites/default/files/cidoc_crm_version_7.1.3.pdf,CIDOC Conceptual Reference Model version 7.1.3,Collections,prov:Entity,
Material Entity,"An entity that exists in full during the length of time of its existence, persists through this time while maintaining its identity and has no temporal parts.",,Approved,http://purl.obolibrary.org/obo/BFO_0000040,Basic Form Ontology,Collections,prov:Entity,
Material Sample,A material entity that represents an entity of interest in whole or in part dwc:MaterialSample. Top concept in material sample object type hierarchy. Represents any material sample object.,,Approved,http://rs.tdwg.org/dwc/terms/MaterialSample,Darwin Core,Collections,prov:Entity,
Metadata,Data that defines and describes other data,,Approved,,ISO/IEC 5207:2024(en) Information technology — Data usage — Terminology and use cases,Data,prov:Entity,
Mobilization,The process of preparing and transferring data from an internal resource or system to external networks for the purposes of distribution,,Approved,,This Document,Workflows,prov:Activity,
Module,A self-contained component (unit or item) that is used in combination with other components.,,Approved,http://purl.obolibrary.org/obo/NCIT_C42721,NCI Thesaurus OBO Edition,Data,prov:Entity,
Museum," An institution that cares for (conserves) a collection of artifacts and other objects of scientific, artistic, cultural, or historical importance.",,Approved,http://purl.obolibrary.org/obo/BCO_0000059,The Biological Collections Ontology,Collections,prov:Entity,
Museum Collection,An object aggregate that has as member parts a material sample that is located in a museum as a result of a process of curation.,"The class museum collection has meaning that is much broader than biological collections. It would probably be better to import this term from another, more general ontology and create a specific subclass for natural history museum collection.",Approved,http://purl.obolibrary.org/obo/BCO_0000031,The Biological Collections Ontology,Collections,prov:Entity,
Online Collection,"A virtual collection primarily designed and collocated for online presentation. The items presented in an online collection may refer to physical objects or digital resources, or both.",,Approved,http://terminology.lido-schema.org/lido01055,Lightweight Information Describing Objects,Collections,prov:Entity,
Organization,"An organization is a social or legal institution such as a company, society, etc.",,Approved,http://www.w3.org/ns/prov#Organization,PROV-O: The PROV Ontology,Global,prov:Entity,
Parallel Workflow,A workflow with some tasks running concurrently.,"A workflow can be seen as a direct acyclic graph, whose nodes are tasks and edges are asymmetric causal relations. A parallel graph occurs when the topological order of such graph if not unique, meaning that there is at least one portion of the workflow in which at least two tasks are running concurrently.",Approved,https://w3id.org/emmo#EMMO_5848e476_2768_4988_98f9_9053c532307b,Elementary Multiperspective Material Ontology,Workflows,prov:Activity,
Phyiscal Object,Items of a material nature that are units for documentation and have physical boundaries that separate them completely in an objective way from other objects.,,Approved,http://www.cidoc-crm.org/cidoc-crm/E19_Physical_Object,CIDOC Conceptual Reference Model version 7.1.3,Collections,prov:Entity,
Physical Collection,Designates an aggregated group of tangible objects,"Disambiguates Collection terms in the LIDO ObjectType vocabulary. Here, Physical Collections are disambiguated from Digital and Online Collections",Approved,,Adopted from http://terminology.lido-schema.org/lido01053,Collections,prov:Entity,
Physical Object,Comprises items of a material nature that are units for documentation and have physical boundaries that separate them completely in an objective way from other objects.,"The decision as to what is documented as a complete item, rather than by its parts or components, may be purely administrative or may be a result of the order in which the item was acquired.",Approved,https://cidoc-crm.org/sites/default/files/cidoc_crm_version_7.1.3.pdf,CIDOC Conceptual Reference Model version 7.1.3,Collections,prov:Entity,"Information about the Principal Investigator who recorded the data, and the information concerning its storage, handling, and migration.
"
Plan,An entity that represents a set of intended actions or steps executed by one or more agents to achieve some goals.,,Approved,http://www.w3.org/ns/prov#Plan,PROV-O: The PROV Ontology,Workflows,prov:Entity,
Plan specification,"A directive information entity with action specifications and objective specifications as parts, and that may be concretized as a realizable entity that, if realized, is realized in a process in which the bearer tries to achieve the objectives by taking the actions specified.",,Approved,http://purl.obolibrary.org/obo/IAO_0000104,Information Artifact Ontology,Workflows,prov:Plan,
Planned process,A process that is initiated by an agent who intends to carry out a plan to achieve an objective through one or more actions as described in a plan specification.,,Approved,http://purl.obolibrary.org/obo/COB_0000082,Core Ontology for Biology and Biomedicine,Workflows,prov:Activity,
Preparator,Person carrying out the operations required for the conservation of dead animals for decoration purposes or for scientific study,,Approved,https://www.iso.org/standard/59743.html,ISO 5127:2017(en) Information and documentation — Foundation and vocabulary,Collections,prov:Role,
Primary Source,"Materials that provide first-hand documentation or knowledge, usually of people, places, events or time periods.","Primary sources enable the researcher to trace a research subject to its origin, potentially supporting new interpretations or revealing previously undocumented knowledge of that subject. Secondary sources build upon or extrapolate information derived from primary sources, and the distinction between the two can be quite fluid depending on one's area of study. In most contexts, however, a primary source is understood to be a point of origin, or a piece of raw data, for a research subject.",Approved,https://libguides.sdsu.edu/primary-sources/terms,,Collections,prov:Entity,
Procedure,An intentional planned process performed by an agent within the context of a workflow,An intentional process in which an agent works with some entities according to some existing formalised operative rules.,Approved,https://w3id.org/emmo#EMMO_472a0ca2_58bf_4618_b561_6fe68bd9fd49,Elementary Multiperspective Material Ontology,Workflows,prov:Activity,
Procedure Specification,"A specification on the order, transitions and trigger of multiple action specifications that are part of some aggregate action specification.",,Provisional,http://purl.allotrope.org/ontologies/result#AFR_0000938,Allotrope Foundation Ontology,Workflows,prov:Plan,
Process,A coordinated (parallel and/or serial) sequence of tasks that are connected in order to achieve a common goal as part of a workflow,,Approved,,Adopted from ISO 12651-2:2014 and https://www.irit.fr/recherches/MELODI/ontologies/BBO#Process,Workflows,prov:Activity,
Process Protocol,A standard operating procedure (SOP) that is a collection of activities and the rules that describe when each activity is performed to achieve a specific purpose or objective(s).,,Approved,http://purl.obolibrary.org/obo/NCIT_C164368,NCI Thesaurus OBO Edition,Global,prov:Plan,
Project,A temporary endeavor undertaken to achieve defined objectives,,Approved,,"ISO 21506:2024  Project, programme and portfolio management — Vocabulary",Global,prov:Activity,
Project Phase,"A collection of logically-related project activities, usually culminating in the completion of an intended goal or devlierable",,Approved,,Project Management Glossary of Terms,Workflows,prov:Plan,
Property,A variable that can be considered (as an investigated property) within a processing step,,Approved,http://www.molmod.info/semantics/pims-ii.ttl#Property,Physicalistic Interpretation of Modelling and Simulation - Interoperability Infrastructure,Workflows,prov:Entity,
Provenance,"Information that documents the history of a described object and related described activities, and that contains information about the origin or source of the described object, any changes that can have taken place since it was originated, and who has had custody of it since it was originated
","For scientific assertions/claims, this is the process history leading to the assertion being made, including the processes through which evidence is evaluated and the methods through which information used as evidence is created. The transitive nature of provenance means that the provenance history of information used as supporting data becomes provenance for an assertion that uses this information as evidence. Provenance metadata describes these processes, including accounts of who conducted them, what entities participated, and when/where they occurred.",Approved,,"Adopted from http://purl.obolibrary.org/obo/SEPIO_0000058, Master Glossary for DOI Museum Property Directives, ISO 24480:2024(en), and http://purl.obolibrary.org/obo/T4FS_0000309",Collections,prov:Entity,
Provenance Statement,"Any changes in ownership and custody of a resource since its creation that are significant for its authenticity, integrity, and interpretation.",,Approved,http://purl.org/dc/terms/ProvenanceStatement,DMCI Metadata Terms,Collections,prov:Entity,
Quantity Kind,Any observable property that can be measured and quantified numerically. ,"Familiar examples include physical properties such as length, mass, time, force, energy, power, electric charge, etc. Less familiar examples include currency, interest rate, price to earning ratio, and information capacity.",Approved,http://qudt.org/schema/qudt/QuantityKind,QUDT Quantity Kind Vocabulary Version 3.1.5,Global,prov:Entity,
Registrar,"Person responsible for the surveilling, handling and the action(s) of physical placement of material objects in a museum",,Approved,https://www.iso.org/standard/59743.html,ISO 5127:2017(en) Information and documentation — Foundation and vocabulary,Collections,prov:Role,
Repository,"A Web-based resources that preserve, manage, and provide access to many types of digital materials in a variety of formats.",,Approved,http://purl.obolibrary.org/obo/T4FS_0000489,terms4FAIRskills,Data,prov:Entity,
Requirements,A proposition that states a set of conditions that have to be fulfilled to achieve some specific objective.,,Approved,http://purl.allotrope.org/ontologies/result#AFR_0001872,Allotrope Foundation Ontology,Data,prov:Plan,
Research Data Publication Workflow,"Activities and processes in a digital environment that lead to the publication of research data, associated metadata and accompanying documentation and software code on the Web.","In contrast to interim or final published products, workflows are the means to curate, document, and review, and thus ensure and enhance the value of the published product. Workflows can involve both humans and machines and often humans are supported by technology as they perform steps in the workflow. Similar workflows may vary in the details depending on the research discipline, data publishing product and/or the host institution of the workflow.",Approved,http://purl.obolibrary.org/obo/T4FS_0000190,terms4FAIRskills,Workflows,prov:Activity,
Role,"The function of an entity or agent with respect to an activity, in the context of a usage, generation, invalidation, association, start, and end.",,Approved,http://www.w3.org/ns/prov#Role,PROV-O Ontology,Global,prov:Entity,
Sample,A material entity that represents a specific known entity (feature of interest),,Approved,,This Document,Collections,prov:Entity,
Sample Collection Data Entry,A planned process that involves the initial entering of data about sample collection into a database.,,Approved,http://purl.obolibrary.org/obo/OBIB_0000708,Ontology for BIoBanking (OBIB),Collections,prov:Activity,
Semantic Interoperability,"The capability of different information systems to communicate information consistent with the intended meaning, which encompasses the data structure elements involved, the terminology appearing as data and the associated identifiers",,Approved,https://cidoc-crm.org/sites/default/files/cidoc_crm_version_7.1.3.pdf,CIDOC Conceptual Reference Model version 7.1.3,Data,prov:Plan,
Serial Workflow,A workflow whose tasks are carried in a sequence defined in a planned process,,Approved,https://w3id.org/emmo#EMMO_57ba1bf0_4314_432c_a9bb_6a6720c8dab5,Elementary Multiperspective Material Ontology,Workflows,prov:Activity,
Source Data Verification,"Confirming the accuracy, authenticity, and thoroughness of information by comparing it to original information and records.",,Approved,http://purl.obolibrary.org/obo/NCIT_C142752,NCI Thesaurus OBO Edition,Workflows,prov:Activity,
Specification,"A specification is a description of the essential technical attributes/requirements for an object or procedure, and may be used to determine that the object / procedure meets its requirements/attributes.",,Provisional,http://semanticscience.org/resource/SIO_000090,Semanticscience Integrated Ontology,Workflows,prov:Plan,
Specimen,"A material entity that represents a generalized population or ""kind of"" something defined within some context.","Within the context of museum collections, specimens are collection objects commonly collected with the intent to provide information about the population or source entity it represents.",Approved,,This Document,Collections,prov:Entity,
