id,term,definition,usage_note,status,uri,source,category,prov_class,examples,last_modified
23,Data Capture,Deliberate action that results in the registration of a record into a record keeping system.,,Approved,,ISO 18530:2021,Workflows,prov:Activity,,20251013
24,Data Cleaning,Refers to the step or series of steps for cleaning and curating data in a workflow. ,"Typically these steps are undertaken by sophisticated tooling/services, or by human interactions. A Data Cleaning step preserves and enriches the content of data.",Approved,http://purl.org/net/wf-motifs#DataCleaning,,Workflows,prov:Activity,,20251013
25,Data Collector,Person/institution responsible for finding or gathering/collecting data,,Approved,,Adopted from http://w3id.org/nfdi4ing/metadata4ing#DataCollector,Workflows,prov:Role,,20251013
26,Data Curation,"A planned process in which existing data is collected, organized, and improved in preparation for subsequent use.",,Approved,http://purl.obolibrary.org/obo/SEPIO_0000131,,Workflows,prov:Activity,,20251013
27,Data Curation and Archival,"An activity that includes the preservation of data in a repository, archive, or a deposition database; and curation of data and metadata, database accessions, annotation, and data provenance with the goal of ensuring that data is findable and reusable. ",,Approved,http://edamontology.org/topic_0219,,Workflows,prov:Activity,,20251013
28,Data Curation Workflow,A type of workflow that includes active steps to curate data as an aid to on-going management of data through its lifecycle.,,Approved,http://purl.obolibrary.org/obo/T4FS_0000102,,Workflows,prov:Activity,,20251013
29,Data Curator,"Person tasked with reviewing, enhancing, cleaning, or standardizing metadata and the associated data submitted for storage, use, and maintenance within a centralized data store or repository",,Approved,,DataCite Metadata Scheme,Collections,prov:Role,,20251013
30,Data Entry,"The process by which original, source data is inputed by a human into a digital, structured format for later use and analysis.",,Approved,http://purl.obolibrary.org/obo/NCIT_C142379,,Data,prov:Activity,,20251013
31,Data Governance,"The control of data entry and maintenance to ensure the data meets defined standards, qualities, or constraints.",,Approved,http://edamontology.org/topic_3571,,Data,prov:Plan,,20251013
32,Data Integration,"Systematic combining of data from different independent and potentially heterogeneous sources, to create a more compatible, unified view of these data for research purposes",,Approved,,ISO 5127:2017,Data,prov:Plan,,20251013
33,Data Lifecycle,"Entire period of time that data exists. This lifecycle describes the flow of data starting from planning, collecting, processing, analysing, preserving, sharing and finally reusing the data.",,Approved,http://purl.obolibrary.org/obo/T4FS_0000213,,Data,prov:Plan,,20251013
34,Data Management Plan,"Statement describing how data will be managed throughout a specified life cycle including terms regarding archiving and potential preservation of the data in a data repository. The plan is considered to be a 'living' document, i.e. one which can be updated when necessary.",,Approved,http://purl.obolibrary.org/obo/T4FS_0000196,,Data,prov:Plan,,20251013
35,Data Manager,"A person primarily responsible for database creation, data collection, validation, integration, coding, review, quality evaluation, and archiving, as well as for preparation of reports and data displays.",,Approved,http://purl.obolibrary.org/obo/NCIT_C51820,,Data,prov:Role,,20251013
36,Data Migration,"The process of transporting data between computers, storage devices, or formats. ","Data migration is a key consideration for any system implementation, upgrade or consolidation. During data migration, software programs or scripts are used to map system data for automated migration.",Approved,,Master Glossary for DOI Museum Property Directives,Data,prov:Activity,,20251013
37,Data Mobility,The ability of information to be accessed and exchanged between systems,,Approved,,This Document,Data,prov:Activity,,20251013
38,Data Policy,Set of high-level principles that establish a guiding framework for data-related issues.,"A data policy may contain subsidiary sections that define approaches to strategic aspects such as data access; data protection; data management, custodianship or stewardship; data preservation; relevant legal matters; data acquisition; data ethics and other data-related issues. Distinct from a data management policy which is the subset of data policy addressing the management of a specified set of data assets.",Approved,http://purl.obolibrary.org/obo/T4FS_0000333,,Data,prov:Plan,,20251013
39,Data Preparation,Data preparation is the process of manipulating (or pre-processing) data (which may come from disparate data sources) to improve their quality or reduce bias in subsequent analysis.,,,,This Document,Data,prov:Activity,,20251013
40,Data Product,A collection of one or more data items that are packaged for or by a specific application.,"A data product may have input and output ports, code and metadata",Approved,,"Adopted from ISO 21961:2003, https://www.ica.org/standards/RiC/ontology#DataProduct",Data,prov:Entity,,20251013
41,Data Product Specification,"Detailed description of a dataset or dataset series together with additional information that will enable it to be created, supplied to and used by another party",,Approved,,ISO 19126:2021,Data,prov:Plan,,20251013
42,Data Profiling,"The statistical analysis and assessment of the quality of data values within a dataset for consistency, uniqueness and logic.",The data profiling process cannot identify inaccurate data; it can only identify business rules violations and anomalies.,Approved,http://purl.obolibrary.org/obo/T4FS_0000516,,Data,prov:Activity,,20251013
43,Data Provider,An agent or agents that produces data or reference metadata,,Approved,,ISO 17369:2013,Data,prov:Role,,20251013
44,Data Publication Workflow,"Activities and processes in a digital environment that lead to the publication of data, associated metadata and accompanying documentation as a web-based resource.",,Approved,,Adopted from http://purl.obolibrary.org/obo/T4FS_0000190,Workflows,prov:Activity,,20251013
45,Data Publishing,Process whereby data are subjected to an assessment process to determine whether they should be acquired by a repository; followed by a rigorous acquisition and ingest process that results in products being publicly made available and supported for the long-term by that repository.,,Approved,,ISO 5127:2017,Data,prov:Activity,,20251013
46,Data Quality,The reliability and application efficiency of data.,,Approved,http://purl.obolibrary.org/obo/T4FS_0000507,,Data,prov:Plan,,20251013
47,Data Steward,"Role within an organization responsible for ensuring metadata quality, integrity, and access in a manner that is consistent with policies and practices established through data governance to ensure the data is fit for reuse.",,Approved,,"Adopted from ISO/TR 14872:2019 and http://purl.obolibrary.org/obo/T4FS_0000178, Thomas G (2009)",Data,prov:Role,,20251013
48,Data Transformation,A process whereby data is changed from one format or structure to another.,,Approved,http://purl.obolibrary.org/obo/NCIT_C43582,,Data,prov:Activity,,20251013
49,Data Validation,"Process used to determine if data are inaccurate, incomplete, or unreasonable. ","The process may include format checks, completeness checks, check key tests, reasonableness checks, limit checks, and checking for compliance with applicable standards, rules, and conventions.",Approved,http://purl.obolibrary.org/obo/T4FS_0000238,,Data,prov:Activity,,20251013
50,Dataset,An identifiable collection of data,,Approved,,ISO 19101-1:2014(en),Data,prov:Entity,"Data products such as images, catalogs, parameter files, calibration data, instrument characteristics, articles, and web pages",20251013
51,Deaccession,"The formal, documented process by which a museum or institution permanently removes an object from its permanent collection. ","An accession is guided by internal policy, professional ethics, and often oversight by governing boards or curatorial committees.",Approved,,MIMESIS,Collections,prov:Activity,,20251013
52,Derivation,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity.","For an entity to be transformed from, created from, or resulting from an update to another, there must be some underpinning activity or activities performing the necessary action(s) resulting in such a derivation. ",Approved,http://www.w3.org/ns/prov#Derivation,,Collections,prov:Entity,,20251013
53,Determination,The systematic identification and classification of a collection object,A action of making a determination is indepdenent of the accession status of a specimen.,Approved,http://www.cidoc-crm.org/cidoc-crm/E17_Type_Assignment,,Collections,prov:Entity,,20251013
54,Digital Collections,"Designates an aggregation of digital objects, including digital versions of physical media, digitised resources, or born-digital items. The collection may be online presented or not.","Disambiguates Collection terms in the LIDO ObjectType vocabulary. Here, Digital Collections are disambiguated from Physical and Online Collections",Approved,http://terminology.lido-schema.org/lido01032,,Collections,prov:Entity,,20251013
55,Digitization,Process of converting analogue materials into digital form,,Approved,,ISO 21246:2019,Collections,prov:Activity,,20251013
56,Distribution,A specific serialized representation of a dataset.,"A dataset might be available in multiple serializations that may differ in various ways, including natural language, media-type or format, schematic organization, temporal and spatial resolution, level of detail or profiles (which might specify any or all of the above).",Approved,,Adopted from http://schema.org/distribution and https://www.w3.org/ns/dcat#Distribution,Collections,prov:Entity,,20251013
57,Distribution Phase,The stage in a project when a serialized version of a mobilized dataset is made available ,,Approved,,This Document,Workflows,prov:Plan,,20251013
58,Entity,"A physical, digital, conceptual, or other kind of thing with some a physical, digital, conceptual, or other kind of thing with some fixed aspects. ",,Approved,,IVOA Provenance Data Model,Data,prov:Entity,,20251013
59,Event,Something that happens or occurs in time and space.,"An event may be caused by nature, an agent, or a combination of nature and agent. Events have temporal and spatial boundaries. An event may actively involve some agent(s) and affect any entity. An event may be discrete, happening at a specific moment in time, or may occur over an extended period of time. Events may have events as parts, and events may precede or follow one another. Multiple agents may participate in the same event, and in different roles.",Approved,https://www.ica.org/standards/RiC/ontology#Event,,Workflows,prov:Activity,,20251013
60,Event,"An arbitrary classification of a space/time region, by a cognitive agent. ","An event may have actively participating agents, passive factors, products, and a location in space/time.",Provisional,http://purl.org/NET/c4dm/event.owl#Event,,Global,prov:Activity,,20251013
61,Event Type,Categorization scheme for grouping events by purpose,"Curation event types include creation; acquisition; transfer; arrangement; description; digitization, etc. Biographical event types include birth, marriage, death, etc.",Provisional,https://www.ica.org/standards/RiC/ontology#EventType,,Global,prov:Activity,,20251013
62,"Extract, Transform Load","A planned data integration process that extracts concretizations of information from a data source, prepares and transforms them, then loads the transformed concretizations into a target data store.",,Approved,,Adopted from http://purl.obolibrary.org/obo/IAO_0000650 and http://purl.obolibrary.org/obo/NCIT_C142549,Data,prov:Activity,,20251013
63,FAIR Principles,"The FAIR principles are guidelines to improve the Findability, Accessibility, Interoperability, and Reuse of digital assets. The principles emphasise machine-actionability (i.e., the capacity of computational systems to find, access, interoperate, and reuse data with none or minimal human intervention) because humans increasingly rely on computational support to deal with data as a result of the increase in volume, complexity, and creation speed of data. The principles refer to three types of entities: data (or any digital object), metadata (information about that digital object), and infrastructure.",,Approved,http://purl.obolibrary.org/obo/T4FS_0000447,,Data,prov:Plan,,20251013
64,Feature of Interest,The thing being sampled or transformed in an act of sampling.,,Approved,https://www.w3.org/TR/vocab-ssn/#SOSAFeatureOfInterest,,Data,prov:Entity,,20251013
65,Field,User-interface element in which data is entered or presented,,Approved,,ISO 9241-125:2017,Data,prov:Entity,,20251013
66,Field Work,Investigation or other type of formal activity practiced by direct observation in the field as a form of primary reconnaissance,,Approved,,This Document and adopted from ISO 22932-2:2020,Collections,prov:Activity,,20251013
67,Format Transformation,A type of data transformation that preserves the content of a dataset while converting its representation format.,,Approved,,Adopted from http://purl.org/net/wf-motifs#FormatTransformation,Data,prov:Activity,,20251013
68,Functional Specification,A functional specification is a specification that describes the characteristics of an object.,,Provisional,http://semanticscience.org/resource/SIO_000315,,Workflows,prov:Plan,Subclass of Specification,20251013
69,Generated,The completion of production of a new entity by an activity. ,"This entity did not exist before generation and becomes available for usage after this generation. Given that a generation is the completion of production of an entity, it is instantaneous.",Approved,http://hl7.org/fhir/w3c-provenance-activity-type/generation,,Data,prov:Activity,,20251013
70,Geological Object,"An amount of matter primarily (dominantly) having parts created by geologic processes. Can include minor parts that are not of geologic origin, such as organic material, and can be solid, fluid, or a mix.",,Approved,https://w3id.org/gso/1.0/geology/Geologic_Material,,Collections,prov:Entity,,20251013
71,Identifier,"A word, number, letter, symbol, or any combination of these used to uniquely identify or reference an individual instance of an entity within a specific information domain.","Can include Global Persistent Identifiers (globally unique and persistently resolvable identifier for the entity) and/or Local Identifiers. Both the domain within which the identifier is unique, and the rules used in forming the identifier value should be provided with the identifier value.",Approved,https://www.ica.org/standards/RiC/ontology#Identifier,,Collections,prov:Entity,,20251013
72,Identifier assignment,An activity that results in the allocation of an identifier that may be locally or globally unique,Documenting the act of identifier assignment and deassignment is especially useful when objects change custody or the identification system of an organization is changed.,Approved,http://www.cidoc-crm.org/cidoc-crm/E15_Identifier_Assignment,,Workflows,prov:Activity,,20251013
73,Initator,Something that sets into motion some course of events or causes something to happen.,"In the context of a collection workflow, an initiator starts a new procedure or branch of an existing workflow",Approved,http://purl.obolibrary.org/obo/NCIT_C54190,,Workflows,prov:Activity,,20251013
74,Iterative Workflow,A workflow whose steps are the repetition of the same task type.,,Approved,https://w3id.org/emmo#EMMO_ddecfff6_d3a1_4972_b9e9_3d0ca11a3a0b,,Workflows,prov:Activity,,20251013
75,Kind (of),A grouping of entities that share a common set of characteristics in a particular context.,Analogous to a 'category' or classification scheme item value,Approved,,This Document,Data,prov:Entity,,20251013
76,Loan,The temporary transfer of custody of museum property on either a short- term (three years or less) or long-term basis. ,A loan must be for official purposes and may be incoming or outgoing. The terms of a loan are documented in a loan agreement or similar instrument.,Approved,,Master Glossary for DOI Museum Property Directives,Collections,prov:Activity,,20251013
77,Local Identifier,Designates an assigned code that is uniquely and meaningfully defined only in the local source system or within the scope of an internal management system.,Locally defined identifiers should not be used to establish equality between resources from separate source systems. They may be used only to compare resources coming from the same local system. They must not be considered to have meaning of their own.,Approved,http://terminology.lido-schema.org/lido00100,,Data,prov:Entity,,20251013
78,Man-made Object,Comprises all persistent physical objects of any size that are purposely created by human activity and have physical boundaries that separate them completely in an objective way from other objects.,"Includes all aggregates of objects made for functional purposes of whatever kind, independent of physical coherence, such as a set of chessmen.",Approved,,CIDOC CRM version 7.1.3,Collections,prov:Entity,,20251013
79,Material Entity,"An entity that exists in full during the length of time of its existence, persists through this time while maintaining its identity and has no temporal parts.",,Approved,,bfo:MaterialEntity,Collections,prov:Entity,,20251013
80,Material Sample,A material entity that represents an entity of interest in whole or in part dwc:MaterialSample. Top concept in material sample object type hierarchy. Represents any material sample object.,,Approved,http://rs.tdwg.org/dwc/terms/MaterialSample,,Collections,prov:Entity,,20251013
81,Metadata,Data that defines and describes other data,,Approved,,ISO/IEC 5207:2024,Data,prov:Entity,,20251013
82,Mobilization,The process of preparing and transferring data from an internal resource or system to external networks for the purposes of distribution,,Approved,,This Document,Workflows,prov:Activity,,20251013
83,Module,A self-contained component (unit or item) that is used in combination with other components.,,Approved,http://purl.obolibrary.org/obo/NCIT_C42721,,Data,prov:Entity,,20251013
84,Museum," An institution that cares for (conserves) a collection of artifacts and other objects of scientific, artistic, cultural, or historical importance.",,Approved,http://purl.obolibrary.org/obo/BCO_0000059,,Collections,prov:Entity,,20251013
85,Museum Collection,An object aggregate that has as member parts a material sample that is located in a museum as a result of a process of curation.,"The class museum collection has meaning that is much broader than biological collections. It would probably be better to import this term from another, more general ontology and create a specific subclass for natural history museum collection.",Approved,http://purl.obolibrary.org/obo/BCO_0000031,,Collections,prov:Entity,,20251013
86,Online Collection,"A virtual collection primarily designed and collocated for online presentation. The items presented in an online collection may refer to physical objects or digital resources, or both.",,Approved,http://terminology.lido-schema.org/lido01055,,Collections,prov:Entity,,20251013
87,Organization,"An organization is a social or legal institution such as a company, society, etc.",,Approved,http://www.w3.org/ns/prov#Organization,,Global,prov:Entity,,20251013
88,Parallel Workflow,A workflow with some tasks running concurrently.,"A workflow can be seen as a direct acyclic graph, whose nodes are tasks and edges are asymmetric causal relations. A parallel graph occurs when the topological order of such graph if not unique, meaning that there is at least one portion of the workflow in which at least two tasks are running concurrently.",Approved,https://w3id.org/emmo#EMMO_5848e476_2768_4988_98f9_9053c532307b,,Workflows,prov:Activity,,20251013
89,Phyiscal Object,Items of a material nature that are units for documentation and have physical boundaries that separate them completely in an objective way from other objects.,,Approved,http://www.cidoc-crm.org/cidoc-crm/E19_Physical_Object,,Collections,prov:Entity,,20251013
90,Physical Collection,Designates an aggregated group of tangible objects,"Disambiguates Collection terms in the LIDO ObjectType vocabulary. Here, Physical Collections are disambiguated from Digital and Online Collections",Approved,,Adopted from http://terminology.lido-schema.org/lido01053,Collections,prov:Entity,,20251013
91,Physical Object,Comprises items of a material nature that are units for documentation and have physical boundaries that separate them completely in an objective way from other objects.,"The decision as to what is documented as a complete item, rather than by its parts or components, may be purely administrative or may be a result of the order in which the item was acquired.",Approved,,CIDOC CRM version 7.1.3,Collections,prov:Entity,"Information about the Principal Investigator who recorded the data, and the information concerning its storage, handling, and migration.
",20251013
92,Plan,An entity that represents a set of intended actions or steps executed by one or more agents to achieve some goals.,,Approved,http://www.w3.org/ns/prov#Plan,,Workflows,prov:Entity,,20251013
93,Plan specification,"A directive information entity with action specifications and objective specifications as parts, and that may be concretized as a realizable entity that, if realized, is realized in a process in which the bearer tries to achieve the objectives by taking the actions specified.",,Approved,http://purl.obolibrary.org/obo/IAO_0000104,,Workflows,prov:Plan,,20251013
94,Planned process,A process that is initiated by an agent who intends to carry out a plan to achieve an objective through one or more actions as described in a plan specification.,,Approved,http://purl.obolibrary.org/obo/COB_0000082,,Workflows,prov:Activity,,20251013
95,Preparator,Person carrying out the operations required for the conservation of dead animals for decoration purposes or for scientific study,,Approved,,ISO 5127:201,Collections,prov:Role,,20251013
96,Primary Source,"Materials that provide first-hand documentation or knowledge, usually of people, places, events or time periods.","Primary sources enable the researcher to trace a research subject to its origin, potentially supporting new interpretations or revealing previously undocumented knowledge of that subject. Secondary sources build upon or extrapolate information derived from primary sources, and the distinction between the two can be quite fluid depending on one's area of study. In most contexts, however, a primary source is understood to be a point of origin, or a piece of raw data, for a research subject.",Approved,https://libguides.sdsu.edu/primary-sources/terms,,Collections,prov:Entity,,20251013
97,Procedure,An intentional planned process performed by an agent within the context of a workflow,An intentional process in which an agent works with some entities according to some existing formalised operative rules.,Approved,https://w3id.org/emmo#EMMO_472a0ca2_58bf_4618_b561_6fe68bd9fd49,,Workflows,prov:Activity,,20251013
98,Procedure Specification,"A specification on the order, transitions and trigger of multiple action specifications that are part of some aggregate action specification.",,Provisional,http://purl.allotrope.org/ontologies/result#AFR_0000938,,Workflows,prov:Plan,,20251013
99,Process,A coordinated (parallel and/or serial) sequence of tasks that are connected in order to achieve a common goal as part of a workflow,,Approved,,Adopted from ISO 12651-2:2014 and https://www.irit.fr/recherches/MELODI/ontologies/BBO#Process,Workflows,prov:Activity,,20251013
100,Process Protocol,A standard operating procedure (SOP) that is a collection of activities and the rules that describe when each activity is performed to achieve a specific purpose or objective(s).,,Approved,http://purl.obolibrary.org/obo/NCIT_C164368,,Global,prov:Plan,,20251013
101,Project,A temporary endeavor undertaken to achieve defined objectives,,Approved,,ISO/TR 21506:2018,Global,prov:Activity,,20251013
102,Project Phase,"A collection of logically-related project activities, usually culminating in the completion of an intended goal or devlierable",,Approved,,Project Management Glossary of Terms,Workflows,prov:Plan,,20251013
103,Property,A variable that can be considered (as an investigated property) within a processing step,,Approved,http://www.molmod.info/semantics/pims-ii.ttl#Property,,Workflows,prov:Entity,,20251013
104,Provenance,"Information that documents the history of a described object and related described activities, and that contains information about the origin or source of the described object, any changes that can have taken place since it was originated, and who has had custody of it since it was originated
","For scientific assertions/claims, this is the process history leading to the assertion being made, including the processes through which evidence is evaluated and the methods through which information used as evidence is created. The transitive nature of provenance means that the provenance history of information used as supporting data becomes provenance for an assertion that uses this information as evidence. Provenance metadata describes these processes, including accounts of who conducted them, what entities participated, and when/where they occurred.",Approved,,"Adopted from http://purl.obolibrary.org/obo/SEPIO_0000058, Master Glossary for DOI Museum Property Directives, ISO 24480:2024(en), and http://purl.obolibrary.org/obo/T4FS_0000309",Collections,prov:Entity,,20251013
105,Provenance Statement,"Any changes in ownership and custody of a resource since its creation that are significant for its authenticity, integrity, and interpretation.",,Approved,http://purl.org/dc/terms/ProvenanceStatement,,Collections,prov:Entity,,20251013
106,Quantity Kind,Any observable property that can be measured and quantified numerically. ,"Familiar examples include physical properties such as length, mass, time, force, energy, power, electric charge, etc. Less familiar examples include currency, interest rate, price to earning ratio, and information capacity.",Approved,http://qudt.org/schema/qudt/QuantityKind,,Global,prov:Entity,,20251013
107,Registrar,"Person responsible for the surveilling, handling and the action(s) of physical placement of material objects in a museum",,Approved,,ISO 5127:201,Collections,prov:Role,,20251013
108,Repository,"A Web-based resources that preserve, manage, and provide access to many types of digital materials in a variety of formats.",,Approved,http://purl.obolibrary.org/obo/T4FS_0000489,,Data,prov:Entity,,20251013
109,Requirements,A proposition that states a set of conditions that have to be fulfilled to achieve some specific objective.,,Approved,http://purl.allotrope.org/ontologies/result#AFR_0001872,,Data,prov:Plan,,20251013
110,Research Data Publication Workflow,"Activities and processes in a digital environment that lead to the publication of research data, associated metadata and accompanying documentation and software code on the Web.","In contrast to interim or final published products, workflows are the means to curate, document, and review, and thus ensure and enhance the value of the published product. Workflows can involve both humans and machines and often humans are supported by technology as they perform steps in the workflow. Similar workflows may vary in the details depending on the research discipline, data publishing product and/or the host institution of the workflow.",Approved,http://purl.obolibrary.org/obo/T4FS_0000190,,Workflows,prov:Activity,,20251013
111,Role,"The function of an entity or agent with respect to an activity, in the context of a usage, generation, invalidation, association, start, and end.",,Approved,http://www.w3.org/ns/prov#Role,,Global,prov:Entity,,20251013
112,Sample,A material entity that represents a specific known entity (feature of interest),,Approved,,This Document,Collections,prov:Entity,,20251013
113,Sample Collection Data Entry,A planned process that involves the initial entering of data about sample collection into a database.,,Approved,http://purl.obolibrary.org/obo/OBIB_0000708,,Collections,prov:Activity,,20251013
114,Semantic Interoperability,"The capability of different information systems to communicate information consistent with the intended meaning, which encompasses the data structure elements involved, the terminology appearing as data and the associated identifiers",,Approved,,Volume A: Definition of the CIDOC Conceptual Reference Model. Version 7.3.1,Data,prov:Plan,,20251013
115,Serial Workflow,A workflow whose tasks are carried in a sequence defined in a planned process,,Approved,https://w3id.org/emmo#EMMO_57ba1bf0_4314_432c_a9bb_6a6720c8dab5,,Workflows,prov:Activity,,20251013
116,Source Data Verification,"Confirming the accuracy, authenticity, and thoroughness of information by comparing it to original information and records.",,Approved,http://purl.obolibrary.org/obo/NCIT_C142752,,Workflows,prov:Activity,,20251013
117,Specification,"A specification is a description of the essential technical attributes/requirements for an object or procedure, and may be used to determine that the object / procedure meets its requirements/attributes.",,Provisional,http://semanticscience.org/resource/SIO_000090,,Workflows,prov:Plan,,20251013
118,Specimen,"A material entity that represents a generalized population or ""kind of"" something defined within some context.","Within the context of museum collections, specimens are collection objects commonly collected with the intent to provide information about the population or source entity it represents.",Approved,,This Document,Collections,prov:Entity,,20251013
119,Step,An atomic unit of a workflow plan that describes a specific task performed by an Agent,"A workflow step usually involves some input information, material or energy needed to complete the step, and some output information, material or energy produced by that step.
",Approved,,"Adopted from ISO 12651-2:2014, http://purl.org/spar/pwo/Step",Workflows,prov:Plan,,20251013
120,Subprocess,A process that is included within another Process.,,Approved,https://www.irit.fr/recherches/MELODI/ontologies/BBO#SubProcess,,Workflows,prov:Activity,,20251013
121,Task,"An atomic unit of a task in a workflow procedure where one or more distinct, clearly defined actions are performed and may be characterized by a starting and ending time","The concept of task is developed in strict connection with the concept of workflow: a task is always part of a workflow and a workflow always possess some tasks. This makes the relation between task and workflow an holistic relation, with task as role and workflow as whole.",Approved,,"This Document, Usage notes adopted from https://w3id.org/emmo#EMMO_4299e344_a321_4ef2_a744_bacfcce80afc and https://www.irit.fr/recherches/MELODI/ontologies/BBO#Task",Workflows,prov:Activity,,20251013
